player_id,player,year,round,pick,position,school,last_name,first_name
26010,Karl-Anthony Towns,2015,1,1,C,Kentucky,Towns,Karl-Anthony
26011,Robert Traylor,1998,1,6,F/C,Michigan,Traylor,Robert
26012,Gary Trent,1995,1,11,PF,Ohio,Trent,Gary
26013,Jeff Trepagnier,2001,2,36,SG,USC,Trepagnier,Jeff
26014,Kelly Tripucka,1981,1,12,G/F,Notre Dame,Tripucka,Kelly
26017,Nikoloz Tskitishvili,2002,1,5,PF/C,Benetton Treviso,Tskitishvili,Nikoloz
26018,Alando Tucker,2007,1,29,SF,Wisconsin,Tucker,Alando
26020,P.J. Tucker,2006,2,35,F,Texas,Tucker,P.J.
26021,Trent Tucker,1982,1,6,SG,Minnesota,Tucker,Trent
26022,Ronny Turiaf,2005,2,37,F,Gonzaga,Turiaf,Ronny
26026,Elston Turner,1981,2,43,G/F,Mississippi,Turner,Elston
26027,Evan Turner,2010,1,2,SF/SG,Ohio State,Turner,Evan
26029,Jeff Turner,1984,1,17,F/C,Vanderbilt,Turner,Jeff
26030,John Turner,1991,1,20,PF,Phillips,Turner,John
26031,Myles Turner,2015,1,11,C,Texas,Turner,Myles
26033,Melvin Turpin,1984,1,6,C,Kentucky,Turpin,Melvin
26034,B.J. Tyler,1994,1,20,PG,Texas,Tyler,B.J.
26035,Jeremy Tyler,2011,2,39,PF,Tokyo Apache,Tyler,Jeremy
26037,Ekpe Udoh,2010,1,6,C,Baylor,Udoh,Ekpe
26039,Beno Udrih,2004,1,28,PG,Breil Milano,Udrih,Beno
26041,Tyler Ulis,2016,2,34,PG,Kentucky,Ulis,Tyler
26046,Darnell Valentine,1981,1,16,G,Kansas,Valentine,Darnell
26047,Denzel Valentine,2016,1,14,SG/SF,Michigan State,Valentine,Denzel
26049,Nick Van Exel,1993,2,37,PG,Cincinnati,Van Exel,Nick
26050,Keith Van Horn,1997,1,2,PF,Utah,Van Horn,Keith
26052,Kiki Vandeweghe,1980,1,11,F,UCLA,Vandeweghe,Kiki
26053,Nick Vanos,1985,2,32,C,Santa Clara,Vanos,Nick
26058,Jarvis Varnado,2010,2,41,PF,Mississippi State,Varnado,Jarvis
26060,David Vaughn,1995,1,25,PF/C,Memphis,Vaughn,David
26061,Jacque Vaughn,1997,1,27,PG,Kansas,Vaughn,Jacque
26062,Rashad Vaughn,2015,1,17,SG,UNLV,Vaughn,Rashad
26063,Loy Vaught,1990,1,13,PF,Michigan,Vaught,Loy
26068,Charlie Villanueva,2005,1,7,F,Connecticut,Villanueva,Charlie
26069,Jay Vincent,1981,2,24,F,Michigan State,Vincent,Jay
26070,Sam Vincent,1985,1,20,SG,Michigan State,Vincent,Sam
26071,Marcus Vinicius,2006,2,43,F,Objetivo Ṣo Carlos,Vinicius,Marcus
26075,Noah Vonleh,2014,1,9,PF,Indiana,Vonleh,Noah
26076,Jake Voskuhl,2000,2,33,C,Connecticut,Voskuhl,Jake
26077,Danny Vranes,1981,1,5,F,Utah,Vranes,Danny
26081,Jackson Vroman,2004,2,31,C,Iowa State,Vroman,Jackson
26084,Dwyane Wade,2003,1,5,SG,Marquette,Wade,Dwyane
26086,Von Wafer,2005,2,39,G,Florida State,Wafer,Von
26087,Dajuan Wagner,2002,1,6,PG,Memphis,Wagner,Dajuan
26088,Milt Wagner,1986,2,35,SG,Louisville,Wagner,Milt
26089,Dion Waiters,2012,1,4,SG,Syracuse,Waiters,Dion
26090,Granville Waiters,1983,2,39,C,Ohio State,Waiters,Granville
26091,Antoine Walker,1996,1,6,F,Kentucky,Walker,Antoine
26092,Darrell Walker,1983,1,12,SG,Arkansas,Walker,Darrell
26094,Kemba Walker,2011,1,9,PG,Connecticut,Walker,Kemba
26095,Kenny Walker,1986,1,5,SF,Kentucky,Walker,Kenny
26096,Samaki Walker,1996,1,9,F,Louisville,Walker,Samaki
26097,John Wall,2010,1,1,PG,Kentucky,Wall,John
26099,Gerald Wallace,2001,1,25,SF,Alabama,Wallace,Gerald
26100,John Wallace,1996,1,18,F,Syracuse,Wallace,John
26101,Rasheed Wallace,1995,1,4,PF,North Carolina,Wallace,Rasheed
26105,Rex Walters,1993,1,16,SG,Kansas,Walters,Rex
26107,Luke Walton,2003,2,32,SF,Arizona,Walton,Luke
26108,Charlie Ward,1994,1,26,PG,Florida State,Ward,Charlie
26111,Willie Warren,2010,2,54,PG,Oklahoma,Warren,Willie
26112,Bryan Warrick,1982,2,25,SG,Saint Joseph's,Warrick,Bryan
26113,Hakim Warrick,2005,1,19,F,Syracuse,Warrick,Hakim
26114,Chris Washburn,1986,1,3,C,NC State,Washburn,Chris
26116,Duane Washington,1987,2,36,SG,Middle Tennessee,Washington,Duane
26117,Eric Washington,1997,2,46,SG,Alabama,Washington,Eric
26121,Earl Watson,2001,2,40,PG,UCLA,Watson,Earl
26122,Jamie Watson,1994,2,47,F,South Carolina,Watson,Jamie
26126,Clarence Weatherspoon,1992,1,9,PF,Southern Miss,Weatherspoon,Clarence
26127,Kyle Weaver,2008,2,38,SG,Washington State,Weaver,Kyle
26130,Chris Webber,1993,1,1,PF/C,Michigan,Webber,Chris
26132,Jeff Webster,1994,2,40,F,Oklahoma,Webster,Jeff
26133,Martell Webster,2005,1,6,G/F,Seattle Prep. School,Webster,Martell
26134,Sonny Weems,2008,2,39,SG,Arkansas,Weems,Sonny
26136,Bonzi Wells,1998,1,11,G/F,Ball State,Wells,Bonzi
26137,Bubba Wells,1997,2,34,SF/PF,Austin Peay,Wells,Bubba
26140,Bill Wennington,1985,1,16,C,St. John's,Wennington,Bill
26142,Robert Werdann,1992,2,46,C,St. John's,Werdann,Robert
26144,David West,2003,1,18,PF,Xavier,West,David
26145,Delonte West,2004,1,24,PG,Saint Joseph's,West,Delonte
26146,Doug West,1989,2,38,G/F,Villanova,West,Doug
26148,Mark West,1983,2,30,C,Old Dominion,West,Mark
26149,Russell Westbrook,2008,1,4,PG,UCLA,Westbrook,Russell
26150,Robert Whaley,2005,2,51,C,Walsh,Whaley,Robert
26151,Ennis Whatley,1983,1,13,PG,Alabama,Whatley,Ennis
26152,DeJuan Wheat,1997,2,51,PG,Louisville,Wheat,DeJuan
26154,Tyson Wheeler,1998,2,47,PG,Rhode Island,Wheeler,Tyson
26156,Derrick White,2017,1,29,PG/SG,Colorado,White,Derrick
26158,Jahidi White,1998,2,43,F/C,Georgetown,White,Jahidi
26159,James White,2006,2,31,G,Cincinnati,White,James
26161,Randy White,1989,1,8,PF,Louisiana Tech,White,Randy
26162,Rodney White,2001,1,9,SF/PF,Charlotte,White,Rodney
26164,Royce White,2012,1,16,PF,Iowa St.,White,Royce
26165,Tony White,1987,2,33,PG,Tennessee,White,Tony
26166,Willie White,1984,2,42,G,Chattanooga,White,Willie
26167,Isaiah Whitehead,2016,2,42,PG/SG,Seton Hall,Whitehead,Isaiah
26169,Hassan Whiteside,2010,2,33,C,Marshall,Whiteside,Hassan
26170,Dwayne Whitfield,1995,2,40,F,Jackson State,Whitfield,Dwayne
26171,Chris Whitney,1993,2,47,PG,Clemson,Whitney,Chris
26174,Andrew Wiggins,2014,1,1,SF/SG,Kansas,Wiggins,Andrew
26175,Mitchell Wiggins,1983,1,23,SG,Florida State,Wiggins,Mitchell
26177,Chris Wilcox,2002,1,8,PF/C,Maryland,Wilcox,Chris
26179,Michael Wiley,1980,2,39,F,Long Beach State,Wiley,Michael
26180,Morlon Wiley,1988,2,46,G,Long Beach State,Wiley,Morlon
26183,Dominique Wilkins,1982,1,3,SF,Georgia,Wilkins,Dominique
26185,Gerald Wilkins,1985,2,47,SG,Chattanooga,Wilkins,Gerald
26191,Alvin Williams,1997,2,47,PG,Villanova,Williams,Alvin
26193,Buck Williams,1981,1,3,F/C,Maryland,Williams,Buck
26195,Corey Williams,1992,2,33,G,Oklahoma State,Williams,Corey
26196,Deron Williams,2005,1,3,PG,Illinois,Williams,Deron
26197,Derrick Williams,2011,1,2,SF/PF,Arizona,Williams,Derrick
26199,Elliot Williams,2010,1,22,SG,Memphis,Williams,Elliot
26200,Eric Williams,1995,1,14,SF,Providence,Williams,Eric
26201,Frank Williams,2002,1,25,PG,Illinois,Williams,Frank
26202,Guy Williams,1983,2,34,F,Washington State,Williams,Guy
26203,Herb Williams,1981,1,14,F/C,Ohio State,Williams,Herb
26205,Jason Williams,1998,1,7,PG,Florida,Williams,Jason
26207,Jay Williams,2002,1,2,PG,Duke,Williams,Jay
26208,Jayson Williams,1990,1,21,PF/C,St. John's,Williams,Jayson
26209,Jerome Williams,1996,1,26,F,Georgetown,Williams,Jerome
26210,John Williams,1986,1,12,PF,LSU,Williams,John
26211,Jordan Williams,2011,2,36,PF,Maryland,Williams,Jordan
26213,Kenny Williams,1990,2,46,F,Elizabeth City State,Williams,Kenny
26214,Kevin Williams,1983,2,46,PG,St. John's,Williams,Kevin
26218,Marcus Williams,2006,1,22,G,Connecticut,Williams,Marcus
26218,Marcus Williams,2007,2,33,SF,Arizona,Williams,Marcus
26219,Marvin Williams,2005,1,2,F,North Carolina,Williams,Marvin
26221,Micheal Williams,1988,2,48,G,Baylor,Williams,Micheal
26223,Mo Williams,2003,2,47,PG,Alabama,Williams,Mo
26224,Monty Williams,1994,1,24,SF,Notre Dame,Williams,Monty
26227,Reggie Williams,1987,1,4,SF,Georgetown,Williams,Reggie
26229,Rob Williams,1982,1,19,PG,Houston,Williams,Rob
26230,Sam Williams,1981,2,33,F,Arizona State,Williams,Sam
26232,Sean Williams,2007,1,17,PF,Boston College,Williams,Sean
26233,Shammond Williams,1998,2,34,PG,North Carolina,Williams,Shammond
26234,Shawne Williams,2006,1,17,PF,Memphis,Williams,Shawne
26235,Shelden Williams,2006,1,5,PF,Duke,Williams,Shelden
26237,Terrence Williams,2009,1,11,SG,Louisville,Williams,Terrence
26240,Walt Williams,1992,1,7,SF,Maryland,Williams,Walt
26241,Corliss Williamson,1995,1,13,PF,Arkansas,Williamson,Corliss
26242,Kevin Willis,1984,1,11,F/C,Michigan State,Willis,Kevin
26248,Nikita Wilson,1987,2,30,SF,LSU,Wilson,Nikita
26249,Othell Wilson,1984,2,35,G,Virginia,Wilson,Othell
26251,Trevor Wilson,1990,2,36,F,UCLA,Wilson,Trevor
26254,David Wingate,1986,2,44,SG,Georgetown,Wingate,David
26255,Dontonio Wingfield,1994,2,37,F,Cincinnati,Wingfield,Dontonio
26256,Justise Winslow,2015,1,10,SF,Duke,Winslow,Justise
26257,Rickie Winslow,1987,2,28,SF,Houston,Winslow,Rickie
26259,Voise Winters,1985,2,44,SG,Bradley,Winters,Voise
26260,Jeff Withey,2013,2,39,C,Kansas,Withey,Jeff
26261,Randy Wittman,1983,1,22,SG,Indiana,Wittman,Randy
26263,Joe Wolf,1987,1,13,C,North Carolina,Wolf,Joe
26265,Nate Wolters,2013,2,38,PG,South Dakota State,Wolters,Nate
26266,Al Wood,1981,1,4,G/F,North Carolina,Wood,Al
26269,Howard Wood,1981,2,27,F,Tennessee,Wood,Howard
26270,Leon Wood,1984,1,10,G,Cal State Fullerton,Wood,Leon
26271,Loren Woods,2001,2,46,C,Arizona,Woods,Loren
26272,Qyntel Woods,2002,1,21,SF,Northeast Mississippi CC,Woods,Qyntel
26273,Randy Woods,1992,1,16,PG,La Salle,Woods,Randy
26274,Mike Woodson,1980,1,12,G/F,Indiana,Woodson,Mike
26275,Orlando Woolridge,1981,1,6,F,Notre Dame,Woolridge,Orlando
26276,Haywoode Workman,1989,2,49,G,Oral Roberts,Workman,Haywoode
26278,Sam Worthen,1980,2,26,F,Marquette,Worthen,Sam
26279,James Worthy,1982,1,1,SF,North Carolina,Worthy,James
26280,Antoine Wright,2005,1,15,G/F,Texas A&M,Wright,Antoine
26281,Bracey Wright,2005,2,47,G,Indiana,Wright,Bracey
26283,Brandan Wright,2007,1,8,PF,North Carolina,Wright,Brandan
26286,Delon Wright,2015,1,20,PG,Utah,Wright,Delon
26287,Dorell Wright,2004,1,19,SF,South Kent School,Wright,Dorell
26289,Julian Wright,2007,1,13,SF,Kansas,Wright,Julian
26290,Lorenzen Wright,1996,1,7,C,Memphis,Wright,Lorenzen
26291,Luther Wright,1993,1,18,C,Seton Hall,Wright,Luther
26292,Sharone Wright,1994,1,6,PF/C,Clemson,Wright,Sharone
26293,Tony Wroten,2012,1,25,PG,Washington,Wroten,Tony
26295,Guerschon Yabusele,2016,1,16,PF,Rouen M̩tropole,Yabusele,Guerschon
26296,Vincent Yarbrough,2002,2,33,SF,Tennessee,Yarbrough,Vincent
26298,Danny Young,1984,2,39,G,Wake Forest,Young,Danny
26299,James Young,2014,1,17,SG/SF,Kentucky,Young,James
26301,Korleone Young,1998,2,40,SF,Hargrave Military Academy,Young,Korleone
26302,Michael Young,1984,1,24,G/F,Houston,Young,Michael
26303,Nick Young,2007,1,16,SG,USC,Young,Nick
26305,Sam Young,2009,2,36,SF,Pittsburgh,Young,Sam
26306,Thaddeus Young,2007,1,12,PF,Georgia Tech,Young,Thaddeus
26307,Tim Young,1999,2,56,C,Stanford,Young,Tim
26309,Cody Zeller,2013,1,4,C/PF,Indiana,Zeller,Cody
26311,Tyler Zeller,2012,1,17,C,North Carolina,Zeller,Tyler
26314,Wang Zhizhi,1999,2,36,C,Bayi Rockets,Zhizhi,Wang
26315,George Zidek,1995,1,22,C,UCLA,Zidek,George
26316,Derrick Zimmerman,2003,2,40,PG,Mississippi State,Zimmerman,Derrick
26317,Stephen Zimmerman,2016,2,41,PF/C,UNLV,Zimmerman,Stephen
26318,Paul Zipser,2016,2,48,SG/SF,FC Bayern Munich,Zipser,Paul
26321,Ivica Zubac,2016,2,32,C,Mega Leks,Zubac,Ivica
