player_id,year_start,year_end,height,weight
24089,2016,2018,6-5,206.0
24090,1983,1995,6-4,180.0
24091,2007,2013,6-2,195.0
24092,1991,1996,6-9,205.0
24093,2004,2012,6-9,234.0
24094,2008,2013,6-5,205.0
24095,1981,1989,6-3,184.0
24096,1980,1988,6-10,215.0
24097,2004,2005,6-1,190.0
24098,2017,2018,6-2,184.0
24099,2018,2018,6-5,196.0
24100,1986,1986,6-8,230.0
24101,2015,2018,6-9,260.0
24102,1993,1994,6-1,185.0
24103,1982,1985,6-10,230.0
24104,1992,1992,6-10,275.0
24105,2013,2016,6-9,239.0
24106,1980,1982,6-6,180.0
24107,1990,1992,6-6,190.0
24108,1986,2001,6-6,210.0
24109,1992,1994,6-0,185.0
24110,2018,2018,6-9,245.0
24111,2015,2016,6-1,165.0
24112,1998,1999,6-5,220.0
24113,1980,1980,6-7,225.0
24114,1993,1997,6-8,235.0
24115,2011,2011,6-11,245.0
24116,2011,2018,6-11,270.0
24117,2014,2018,6-9,215.0
24118,1983,1983,6-2,180.0
24119,2014,2018,6-6,210.0
24120,2018,2018,6-6,215.0
24121,1998,2004,6-9,235.0
24122,2001,2018,6-5,200.0
24123,2009,2009,6-5,210.0
24124,2011,2018,6-4,195.0
24125,1986,1986,7-0,235.0
24126,2002,2002,6-0,185.0
24127,1988,1989,6-7,233.0
24128,2008,2009,6-5,200.0
24129,1980,1980,6-4,195.0
24130,1998,2009,6-9,235.0
24131,1986,1986,6-10,240.0
24132,1984,1984,6-10,215.0
24133,1993,2003,6-1,185.0
24134,1992,1995,6-5,214.0
24135,2013,2018,6-6,235.0
24136,1980,1991,6-9,230.0
24137,1983,2000,6-9,220.0
24138,2000,2002,6-3,185.0
24139,2010,2018,6-8,230.0
24140,2013,2016,6-4,195.0
24141,1998,1999,6-11,250.0
24142,1993,1993,6-10,275.0
24143,1981,1997,6-9,210.0
24144,1995,2001,6-9,220.0
24145,1987,2002,6-4,190.0
24146,2002,2013,7-0,295.0
24147,2010,2010,6-3,190.0
24148,1994,2005,6-5,210.0
24149,2014,2017,6-2,185.0
24150,2010,2018,6-3,190.0
24151,1996,1996,7-1,260.0
24152,1983,1992,6-3,180.0
24153,2002,2015,6-11,255.0
24154,1997,2012,6-11,265.0
24155,1998,2011,6-4,195.0
24156,2005,2005,6-8,214.0
24157,1993,1998,6-7,205.0
24158,2004,2013,6-6,200.0
24159,2014,2018,6-4,205.0
24160,1996,1997,6-5,200.0
24161,1995,1998,7-0,265.0
24162,2014,2015,6-8,215.0
24163,1987,1994,7-0,245.0
24164,1999,2001,6-9,235.0
24165,2008,2009,6-10,230.0
24166,2014,2015,6-10,240.0
24167,2013,2018,6-10,253.0
24168,1994,2006,6-9,215.0
24169,2000,2012,6-3,209.0
24170,1997,2000,6-9,240.0
24171,1994,1994,6-7,200.0
24172,1982,1990,6-7,215.0
24173,1992,2007,6-11,230.0
24174,2017,2018,6-11,237.0
24175,2011,2018,6-10,240.0
24176,1997,2003,6-4,195.0
24177,2008,2015,6-9,289.0
24178,1993,2004,6-5,183.0
24179,2004,2012,6-8,235.0
24181,1989,1989,6-6,195.0
24181,1996,2000,6-7,210.0
24182,1983,1983,6-10,230.0
24183,1981,1981,6-7,205.0
24184,2007,2010,6-11,270.0
24185,1999,2010,6-6,195.0
24186,1990,2001,6-9,225.0
24187,2015,2015,6-5,215.0
24188,1987,1995,6-2,165.0
24189,1980,1980,6-5,190.0
24190,2016,2016,6-6,225.0
24191,2012,2012,6-9,250.0
24192,1991,1995,6-7,215.0
24193,1993,2001,6-6,188.0
24194,2010,2015,6-11,220.0
24195,1984,1988,6-8,220.0
24196,2013,2014,6-5,200.0
24197,1980,1980,6-4,190.0
24198,1996,2005,6-10,230.0
24199,2014,2018,7-0,245.0
24200,1994,1999,6-2,190.0
24201,2016,2016,6-6,209.0
24202,2016,2018,6-9,230.0
24203,1989,2002,6-4,185.0
24204,2017,2018,6-3,190.0
24205,1992,1999,6-9,235.0
24206,2005,2013,6-6,230.0
24207,1997,2006,6-1,189.0
24208,2014,2018,6-4,198.0
24209,1989,1989,6-5,215.0
24210,1980,1982,6-9,225.0
24211,1994,1997,6-3,205.0
24212,2005,2018,6-9,220.0
24213,1982,1984,6-8,220.0
24214,2012,2013,5-11,185.0
24215,2010,2018,6-7,221.0
24216,2000,2004,6-4,184.0
24217,2017,2018,6-9,220.0
24218,2004,2017,6-8,250.0
24219,2007,2010,6-7,225.0
24220,2008,2008,6-2,192.0
24221,2003,2008,6-0,190.0
24222,2004,2008,6-8,215.0
24223,1999,2003,6-5,190.0
24224,2006,2010,6-1,175.0
24225,2014,2018,6-11,241.0
24226,1982,1982,6-3,170.0
24227,1990,1991,6-1,170.0
24228,2015,2018,6-6,200.0
24229,2006,2012,6-8,250.0
24230,2002,2013,7-0,300.0
24231,1990,2005,7-1,243.0
24232,2003,2009,6-3,164.0
24233,1997,1997,6-2,198.0
24234,1999,2008,6-11,262.0
24235,1981,1995,7-2,275.0
24236,1988,1988,5-11,171.0
24237,2001,2013,6-3,196.0
24238,2009,2015,6-8,268.0
24239,2018,2018,6-5,183.0
24240,2018,2018,6-6,205.0
24241,2007,2009,6-3,175.0
24242,1987,1987,6-3,195.0
24243,1982,1983,6-2,170.0
24244,1990,2001,6-0,180.0
24245,2010,2017,6-2,195.0
24246,2009,2015,6-7,200.0
24247,2011,2011,6-3,191.0
24248,1990,1990,6-9,210.0
24249,2009,2018,6-3,190.0
24250,2015,2015,6-5,200.0
24251,1987,1997,7-1,250.0
24252,1999,2004,6-2,185.0
24254,1981,1991,6-1,170.0
24254,2015,2015,6-2,180.0
24255,1984,1998,6-7,210.0
24256,1997,1997,6-5,215.0
24257,2002,2005,6-11,270.0
24258,1981,1981,7-2,250.0
24259,2013,2018,6-11,279.0
24260,1987,1997,7-0,275.0
24261,1988,2003,6-11,235.0
24262,2008,2018,6-7,225.0
24263,1980,1983,6-2,180.0
24264,2005,2013,6-1,185.0
24265,2016,2016,6-9,220.0
24266,1986,1999,6-3,190.0
24267,1993,1996,6-7,200.0
24268,1995,1998,6-6,190.0
24269,1998,2016,6-11,250.0
24270,2003,2017,6-9,230.0
24271,2017,2018,6-4,210.0
24272,2004,2011,6-7,209.0
24273,2008,2018,6-9,240.0
24274,1981,1983,6-3,195.0
24275,1993,1995,6-7,210.0
24276,1985,1986,6-7,200.0
24277,1982,1982,6-8,190.0
24278,2012,2012,6-3,180.0
24279,1989,1998,6-5,220.0
24280,1994,1997,6-10,240.0
24281,2015,2016,6-8,210.0
24282,1983,1993,7-4,275.0
24283,1983,1987,6-4,180.0
24284,2011,2013,6-9,215.0
24285,2004,2005,6-9,200.0
24286,2016,2017,6-7,218.0
24287,1992,1992,6-11,240.0
24288,1985,1985,6-8,205.0
24289,1983,1984,6-5,195.0
24290,1996,2001,5-10,152.0
24291,1994,1994,6-8,215.0
24292,1990,1999,6-4,200.0
24293,2005,2005,6-9,275.0
24294,1994,1996,6-7,220.0
24295,1982,1988,6-1,170.0
24296,1990,1990,6-4,185.0
24297,2005,2006,7-0,275.0
24298,1989,2001,6-3,190.0
24299,2014,2014,6-7,220.0
24300,1984,1997,6-6,180.0
24301,1995,2006,6-2,177.0
24302,2000,2005,6-9,270.0
