player_id,date_of_birth,city_of_birth,state_of_birth
25734,"April 16, 1960",Trenton,Illinois
25769,"September 13, 1959",Richmond,Virginia
25800,"September 9, 1960",Los Angeles,California
25875,"November 7, 1959",Chapel Hill,North Carolina
25934,"January 1, 1960",Blytheville,Arkansas
25942,"September 11, 1960",Lexington,Kentucky
25943,"April 10, 1960",Broaddus,Texas
25955,"April 12, 1960",St. Louis,Missouri
25978,"February 5, 1960",Middletown,Connecticut
25984,"June 23, 1961",Cincinnati,Ohio
25995,"February 23, 1960",Dallas,Texas
26009,"November 30, 1959",Richmond,Virginia
26021,"December 20, 1959",Tarboro,North Carolina
26112,"July 22, 1959",Moses Lake,Washington
26163,"August 16, 1959",Tuskegee,Alabama
26228,"March 12, 1957",Buffalo,New York
26229,"May 5, 1961",Weirton,West Virginia
26320,"December 20, 1953",Uxbridge,Canada
23721,"July 15, 1961",Los Angeles,California
23735,"April 7, 1961",Washington,District of Columbia
23896,"October 11, 1960",Lake City,Minnesota
23948,"July 14, 1959",Madrid,Spain
24009,"October 26, 1961",Baton Rouge,Louisiana
24049,"August 10, 1960",Somerville,Tennessee
24085,"January 1, 1961",Oklahoma City,Oklahoma
24132,"September 5, 1961",Chicago,Illinois
24195,"November 30, 1960",Des Moines,Iowa
24300,"August 11, 1961",Lubbock,Texas
24308,"August 6, 1960",Marietta,Georgia
24392,"October 10, 1960",Birmingham,Alabama
24440,"June 6, 1959",Bridgeport,Connecticut
24461,"October 27, 1960",Williamsburg County,South Carolina
24502,"October 27, 1961",Montreal,Canada
24532,"January 4, 1961",New York,New York
24579,"January 18, 1961",Des Moines,Iowa
24591,"October 13, 1961",Elberton,Georgia
24677,"May 2, 1961",Trenton,New Jersey
24871,"April 3, 1957",McGehee,Arkansas
24871,"January 12, 1962",McGehee,Arkansas
24871,"July 17, 1975",McGehee,Arkansas
24891,"April 10, 1961",McGhee,Arkansas
24891,"May 25, 1975",McGhee,Arkansas
24956,"August 5, 1961",Houston,Texas
24979,"February 3, 1961",Bristol,Connecticut
25063,"September 14, 1960",Thomaston,Georgia
25078,"January 21, 1960",Washington,District of Columbia
25113,"June 28, 1961",Mobile,Alabama
25119,"September 22, 1960",Salt Lake City,Utah
25183,"August 29, 1961",Mount Vernon,New York
25184,"February 8, 1960",Mount Vernon,New York
25232,"March 24, 1960",Houston,Texas
25243,"July 9, 1956",Louisville,Kentucky
25476,"September 29, 1960",Dayton,Ohio
25517,"February 19, 1961",Hartford,Connecticut
25518,"October 17, 1960",West Chester,Pennsylvania
25594,"March 20, 1960",Toronto,Canada
25635,"October 13, 1961",Chicago,Illinois
25640,"August 14, 1960",Provo,Utah
25740,"March 28, 1961",Ogden,Utah
25882,"November 17, 1960",St. Louis,Missouri
25910,"July 2, 1961",Sioux Falls,South Dakota
25912,"August 9, 1961",Los Angeles,California
25966,"October 19, 1960",Lakeland,Florida
25986,"May 25, 1961",Smyrna,Tennessee
25994,"September 10, 1961",Atlanta,Georgia
26090,"January 8, 1961",Columbus,Ohio
26092,"March 9, 1961",Chicago,Illinois
26135,"October 28, 1960",Orefield,Pennsylvania
26148,"November 5, 1960",Petersburg,Virginia
26151,"August 11, 1962",Birmingham,Alabama
26175,"September 28, 1959",Lenoir County,North Carolina
26214,"September 11, 1961",New York,New York
26247,"September 15, 1959",Memphis,Tennessee
26261,"October 28, 1959",Indianapolis,Indiana
23642,"February 26, 1959",Litchfield,Connecticut
23684,"October 15, 1958",Chicago,Illinois
23748,"April 1, 1960",Baltimore,Maryland
23828,"March 27, 1963",Chicago,Illinois
23873,"March 17, 1961",Lebanon,Pennsylvania
23901,"August 14, 1959",Bayville,New York
23941,"July 29, 1960",Chicago,Illinois
23968,"November 5, 1962",New York,New York
23982,"January 28, 1962",West Memphis,Arkansas
23992,"May 7, 1962",Teaneck,New Jersey
23998,"October 27, 1959",Ogdensburg,New York
24000,"July 23, 1961",Oklahoma City,Oklahoma
24024,"April 30, 1959",Beaumont,Texas
24084,"July 24, 1962",Phoenix,Arizona
24276,"October 20, 1960",Provo,Utah
24288,"May 24, 1962",Heidelburg,Germany
24365,"February 9, 1962",Iowa City,Iowa
24373,"February 4, 1962",New York,New York
24489,"June 24, 1962",Jackson,Mississippi
24512,"January 5, 1962",Scarsdale,New York
24517,"May 27, 1963",Panama Canal Zone,Panama
24692,"August 4, 1961",Seattle,Washington
24729,"October 17, 1962",Los Angeles,California
24774,"October 26, 1962",Los Angeles,California
24880,"January 13, 1961",Oak Hill,West Virginia
24892,"November 20, 1960",Long Beach,California
24930,"June 26, 1962",Clarksville,Virginia
25180,"March 10, 1962",Detroit,Michigan
25323,"June 26, 1962",Meriden,Connecticut
25494,"June 14, 1961",Brooklyn,New York
25502,"February 22, 1962",Minneapolis,Minnesota
25527,"February 21, 1962",Highland Park,Michigan
25534,"April 15, 1962",Newport News,Virginia
25643,"July 22, 1962",Barberton,Ohio
25719,"November 17, 1960",Kingston,Jamaica
25555,"July 14, 1963",Bronx,New York
25731,"October 27, 1954",St. Joseph,Michigan
25737,"April 19, 1960",Waterloo,New York
25758,"March 11, 1962",Pensacola,Florida
25795,"July 3, 1962",McMinnville,Oregon
25804,"February 18, 1962",Washington,District of Columbia
25865,"February 27, 1961",Wilmington,Delaware
25954,"October 3, 1961",Los Angeles,California
25975,"August 30, 1962",Phoenix,Arizona
25993,"August 5, 1962",Boynton Beach,Florida
26029,"April 9, 1962",Bangor,Maine
26033,"December 28, 1960",Lexington,Kentucky
26166,"August 20, 1962",Memphis,Tennessee
26187,"March 18, 1960",Pocatello,Idaho
26202,"July 1, 1960",Mount Vernon,New York
26242,"September 6, 1962",New York,New York
26249,"October 26, 1961",Alexandria,Virginia
26270,"March 25, 1962",Columbia,South Carolina
26298,"July 26, 1962",Raleigh,North Carolina
26302,"January 2, 1961",Houston,Texas
23625,"January 19, 1963",Hartford,Connecticut
23773,"November 9, 1962",Washington,District of Columbia
23798,"November 22, 1964",Monroe,Louisiana
23823,"March 26, 1962",Munich,Germany
23851,"October 16, 1962",Gogrial,South Sudan
23902,"June 21, 1963",Clearwater,Florida
24018,"August 22, 1963",Houston,Mississippi
24034,"November 25, 1963",Brooklyn,New York
