,player_id,player,year,round,pick,position,school,last name,first name
1955,,DontÃ© Greene,2008,1,28,SF,Syracuse,Greene,DontÃ©
1956,,D. J. White,2008,1,29,PF,Indiana,White,D. J.
1957,,J. R. Giddens,2008,1,30,SG,New Mexico,Giddens,J. R.
1958,,Nikola PekoviÄ‡,2008,2,31,C,Panathinaikos,PekoviÄ‡,Nikola
1959,,Ã–mer AÅŸÄ±k,2008,2,36,C,FenerbahÃ§e Ãœlker,AÅŸÄ±k,Ã–mer
1960,,"Jr., Patrick Ewing",2008,2,43,SF,Georgetown,Ewing,"Jr., Patrick"
1961,,Ante TomiÄ‡,2008,2,44,C,KK Zagreb,TomiÄ‡,Ante
1962,,Goran DragiÄ‡,2008,2,45,PG,Union Olimpija,DragiÄ‡,Goran
1963,,Trent Plaisted,2008,2,46,PF,BYU,Plaisted,Trent
1964,,Bill Walker,2008,2,47,SG,Kansas State,Walker,Bill
1965,,Richard Hendrix,2008,2,49,PF,Alabama,Hendrix,Richard
1966,,DeVon Hardin,2008,2,50,C,California,Hardin,DeVon
1967,,Shan Foster,2008,2,51,SG,Vanderbilt,Foster,Shan
1968,,Tadija DragiÄ‡eviÄ‡,2008,2,53,PF,Red Star Belgrade,DragiÄ‡eviÄ‡,Tadija
1969,,Maarty Leunen,2008,2,54,PF,Oregon,Leunen,Maarty
1970,,James Gist,2008,2,57,PF,Maryland,Gist,James
1971,,Deron Washington,2008,2,59,SF,Virginia Tech,Washington,Deron
1972,,VÃ­ctor Claver,2009,1,22,SF,Pamesa Valencia,Claver,VÃ­ctor
1973,,Jeff Pendergraph,2009,2,31,PF,Arizona State,Pendergraph,Jeff
1974,,Sergio Llull,2009,2,34,PG,Real Madrid,Llull,Sergio
1975,,Henk Norel,2009,2,47,PF,DKV Joventut,Norel,Henk
1976,,Sergiy Gladyr,2009,2,49,SG,MBC Mykolaiv,Gladyr,Sergiy
1977,,Goran Suton,2009,2,50,C,Michigan State,Suton,Goran
1978,,Jack McClinton,2009,2,51,SG,Miami (FL),McClinton,Jack
1979,,A. J. Price,2009,2,52,PG,Connecticut,Price,A. J.
1980,,Nando de Colo,2009,2,53,PG,Cholet,de Colo,Nando
1981,,Robert Vaden,2009,2,54,SG,UAB,Vaden,Robert
1982,,Ahmad Nivins,2009,2,56,PF,Saint Joseph's,Nivins,Ahmad
1983,,Emir PreldÅ¾iÄ,2009,2,57,PF,FenerbahÃ§e Ãœlker,PreldÅ¾iÄ,Emir
1984,,Chinemelu Elonu,2009,2,59,PF,Texas A&M,Elonu,Chinemelu
1985,,Robert Dozier,2009,2,60,SF,Memphis,Dozier,Robert
1986,,KÃ©vin SÃ©raphin,2010,1,17,PF,Cholet Basket,SÃ©raphin,KÃ©vin
1987,,Greivis VÃ¡squez,2010,1,28,PG,Maryland,VÃ¡squez,Greivis
1988,,Tibor PleiÃŸ,2010,2,31,C,Brose Bamberg,PleiÃŸ,Tibor
1989,,Terrico White,2010,2,36,SG,Ole Miss,White,Terrico
1990,,Da'Sean Butler,2010,2,42,SF,West Virginia,Butler,Da'Sean
1991,,PaulÃ£o Prestes,2010,2,45,C,CB Murcia,Prestes,PaulÃ£o
1992,,Tiny Gallon,2010,2,47,PF,Oklahoma,Gallon,Tiny
1993,,Latavious Williams,2010,2,48,SF,Tulsa 66ers,Williams,Latavious
1994,,Ryan Richards,2010,2,49,PF,CB Gran Canaria,Richards,Ryan
1995,,Magnum Rolle,2010,2,51,PF,Louisiana Tech,Rolle,Magnum
1996,,Hamady Ndiaye,2010,2,56,C,Rutgers,Ndiaye,Hamady
