,Player,Career Start,Career End,Col Games Played,Col MP,Col FG,Col FGA,Col 2P,Col 2PA,Col 3P,Col 3PA,Col FT,Col FTA,Col ORB,Col DRB,Col TRB,Col AST,Col STL,Col BLK,Col TOV,Col PTS,player_id
81,Dahntay Jones,2002,2003,33,1014,198,421,151,303,47,118,140,187,46,134,180,29,38,18,63,583,11170
82,Dajuan Wagner,2001,2002,36,1146,265,647,199,439,66,208,166,230,18,71,89,128,43,20,105,762,13272
83,Damian Lillard,2009,2012,63,2167,416,924,238,480,178,444,391,448,28,258,286,240,82,11,148,1401,11508
84,Damion James,2008,2010,69,2063,413,853,349,673,64,180,261,385,210,462,672,80,91,70,148,1151,11049
85,Damone Brown,2000,2001,34,1242,215,437,211,423,4,14,125,158,109,191,300,56,58,48,69,559,9586
86,Damyean Dotson,2016,2017,32,1098,202,430,94,186,108,244,44,53,49,173,222,36,29,5,33,556,10135
87,Dan Dickau,2001,2002,32,1110,195,442,78,186,117,256,165,191,15,80,95,149,26,4,92,672,10092
88,Danny Granger,2004,2005,30,900,183,349,138,245,45,104,154,204,69,197,266,71,63,60,72,565,10575
89,Dante Cunningham,2008,2009,38,1199,244,465,244,463,0,2,124,178,99,185,284,47,47,47,82,612,9955
90,Danuel House,2015,2016,36,1114,185,467,110,224,75,243,118,165,39,132,171,77,19,11,64,563,10936
91,Darington Hobson,2009,2010,35,1175,193,439,154,331,39,108,130,199,74,250,324,160,44,15,104,555,10885
92,Darius Johnson-Odom,2010,2012,71,2229,406,923,258,528,148,395,247,336,40,191,231,181,63,11,155,1207,11153
93,Darius Songaila,2001,2002,34,1036,204,390,198,374,6,16,193,226,76,200,276,89,45,27,119,607,12901
94,Darius Washington,2004,2005,38,1334,193,420,146,301,47,119,151,206,37,101,138,144,63,3,134,584,13330
95,David West,2001,2003,64,2262,409,781,391,727,18,54,394,497,191,500,691,152,80,132,184,1230,13383
96,De'Aaron Fox,2016,2017,36,1064,214,447,197,378,17,69,156,212,21,122,143,165,53,7,87,601,10397
97,DeJuan Blair,2008,2009,35,955,226,381,226,381,0,0,98,162,195,237,432,42,54,34,44,550,9442
98,DeMarcus Cousins,2009,2010,38,893,206,369,205,363,1,6,162,268,154,220,374,38,37,67,78,575,9914
99,DeMarre Carroll,2008,2009,38,1064,246,441,230,397,16,44,121,191,92,181,273,82,59,25,56,629,9737
100,Dejounte Murray,2015,2016,34,1139,202,486,168,368,34,118,110,166,48,155,203,151,62,10,110,548,11983
101,Delonte West,2003,2004,32,1073,212,416,156,280,56,136,124,139,38,134,172,151,55,6,82,604,13384
102,Demetris Nichols,2006,2007,35,1217,225,503,125,263,100,240,113,133,50,140,190,54,49,37,77,663,12055
103,Demetrius Jackson,2015,2016,35,1259,193,428,139,265,54,163,113,139,31,90,121,164,43,10,76,553,11016
104,Denzel Valentine,2014,2016,70,2317,402,889,196,410,206,479,152,181,71,407,478,408,67,16,177,1162,13215
105,Derrick Byars,2006,2007,34,1068,206,451,127,239,79,212,86,121,52,113,165,116,48,4,80,577,9683
106,Derrick Rose,2007,2008,40,1168,208,436,173,332,35,104,146,205,54,127,181,189,48,15,107,597,12571
107,Derrick Walton,2016,2017,38,1323,171,392,73,160,98,232,149,170,17,165,182,189,43,1,66,589,13309
108,Derrick White,2016,2017,34,1116,205,404,148,260,57,144,148,182,35,104,139,148,42,49,81,615,13401
109,Derrick Williams,2010,2011,38,1141,226,380,184,306,42,74,247,331,105,209,314,43,37,26,100,741,13467
110,Desmon Farmer,2002,2004,58,1965,352,891,206,447,146,444,256,322,100,171,271,105,61,6,138,1106,10303
111,Devin Brown,2000,2001,28,906,186,436,141,279,45,157,139,193,62,150,212,71,47,9,88,556,9591
112,Devin Harris,2003,2004,32,1162,189,412,114,211,75,201,171,216,20,119,139,141,56,4,66,624,10756
113,Diante Garrett,2010,2011,32,1175,214,518,155,333,59,185,66,80,12,107,119,195,55,7,106,553,10475
114,Dillon Brooks,2015,2017,73,2133,437,914,332,630,105,284,220,281,112,207,319,214,78,31,161,1199,9576
115,Dionte Christmas,2006,2009,98,3486,620,1417,321,611,299,806,393,494,106,419,525,246,138,23,267,1932,9803
116,Domantas Sabonis,2015,2016,36,1149,239,391,234,377,5,14,150,195,110,316,426,64,22,31,92,633,12625
117,Dominique Jones,2008,2010,64,2385,415,954,309,612,106,342,330,453,98,276,374,242,97,31,179,1266,11175
118,Donald Sloan,2009,2010,34,1130,200,450,153,321,47,129,157,204,23,99,122,79,22,2,80,604,12820
119,Donte Greene,2007,2008,35,1253,218,521,128,260,90,261,94,133,60,191,251,71,45,57,91,620,10624
120,Doron Lamb,2011,2012,40,1249,175,369,99,206,76,163,123,149,15,93,108,60,19,2,44,549,11407
121,Doug McDermott,2010,2014,145,4569,1141,2075,867,1477,274,598,594,715,281,807,1088,194,34,14,321,3150,11736
122,Draymond Green,2011,2012,37,1229,212,472,160,338,52,134,125,173,79,315,394,141,54,35,112,601,10604
123,Drew Gooden,2001,2002,37,1119,285,566,275,530,10,36,154,204,126,297,423,73,65,53,108,734,10547
124,Dwayne Bacon,2016,2017,35,1008,221,489,164,318,57,171,104,138,35,112,147,61,35,4,71,603,9263
125,Dwyane Wade,2001,2003,65,1993,474,959,442,863,32,96,301,404,141,279,420,255,150,79,203,1281,13268
126,E'Twaun Moore,2009,2011,69,2255,433,970,312,649,121,321,200,278,83,226,309,201,92,28,134,1187,11914
127,Edwin Ubiles,2007,2008,34,1130,231,439,197,358,34,81,81,115,47,101,148,57,41,33,55,577,13201
128,Elfrid Payton,2013,2014,35,1258,237,466,223,412,14,54,184,302,81,129,210,208,80,21,127,672,12245
129,Elijah Millsap,2009,2010,34,1124,182,418,163,339,19,79,164,236,92,232,324,60,56,11,118,547,11870
