player_id,age,year,team,position_played,minutes_played,points_scored,two_points_scored,three_points_scored,free_throws_made,assists,steals,blocks,turnovers,field_goal_percentage
23632,26,1986,DAL,SF,2501,1670,652,16,0.0,339,62,14,252,0.503
23632,27,1987,DAL,SF,2663,2056,734,53,0.0,254,84,30,217,0.495
23632,28,1988,DAL,SF,2610,1932,694,52,0.0,278,70,57,203,0.475
23632,29,1989,TOT,SF,2597,1511,535,51,0.0,278,45,36,208,0.461
23632,29,1989,DAL,SF,1529,953,344,29,0.0,189,29,29,140,0.45
23632,29,1989,DET,SF,1068,558,191,22,0.0,89,16,7,68,0.483
23632,30,1990,DET,SF,2005,1099,407,31,0.0,145,34,19,121,0.488
23632,31,1991,DET,SF,2006,1104,396,24,0.0,139,47,20,128,0.462
23632,32,1992,DET,SF,1582,851,324,15,0.0,126,51,11,105,0.431
23632,33,1993,DET,SF,1056,503,157,30,0.0,105,16,7,68,0.44299999999999995
23632,34,1994,LAC,SF,859,413,126,37,0.0,104,21,8,70,0.46799999999999997
23634,22,1982,BOS,SG,564,219,74,5,0.0,87,37,3,53,0.35700000000000004
23634,23,1983,BOS,SG,2048,791,352,5,0.0,251,109,6,98,0.496
23634,24,1984,BOS,SG,1154,384,160,6,0.0,162,41,4,70,0.46
23634,25,1985,BOS,SG,2564,971,404,15,0.0,399,122,6,149,0.529
23634,26,1986,BOS,SG,2407,855,327,26,0.0,405,94,7,129,0.504
23634,27,1987,BOS,SG,2499,1053,325,85,0.0,400,101,14,141,0.486
23634,28,1988,BOS,SG,3018,1270,334,148,0.0,503,115,17,153,0.491
23634,29,1989,TOT,PG,2377,1281,364,116,0.0,402,93,8,145,0.457
23634,29,1989,BOS,PG,1349,714,213,58,0.0,215,52,1,82,0.46
23634,29,1989,SAC,PG,1028,567,151,58,0.0,187,41,7,63,0.452
23634,30,1990,SAC,PG,2727,1342,398,108,0.0,453,113,18,185,0.43799999999999994
23634,31,1991,POR,SG,1710,890,235,102,0.0,285,63,13,100,0.47200000000000003
23634,32,1992,POR,SG,1595,784,221,78,0.0,202,73,13,70,0.442
23634,33,1993,PHO,SG,2163,947,187,150,0.0,260,69,8,113,0.462
23634,34,1994,PHO,SG,1555,606,144,80,0.0,180,57,8,81,0.41700000000000004
23634,35,1995,PHO,SG,1374,571,116,78,0.0,210,46,7,79,0.46
23733,23,1982,POR,C,7,2,1,0,0.0,0,0,0,2,1.0
23746,22,1982,SAS,SF,1700,767,311,0,0.0,147,55,17,106,0.47700000000000004
23746,23,1983,SAS,PF,2722,1206,505,0,0.0,279,78,21,171,0.55
23746,24,1984,SAS,PF,2600,1049,423,1,0.0,254,105,23,166,0.568
23746,25,1985,SAS,SF,2091,778,288,1,1.0,234,65,13,140,0.586
23746,26,1986,CHI,SF,2139,895,356,0,0.0,251,81,10,139,0.517
23746,27,1987,CHI,SF,1822,610,249,0,0.0,170,52,17,113,0.539
23826,22,1982,DAL,SG,1979,1091,438,1,0.0,105,46,30,113,0.513
23826,23,1983,DAL,SG,2349,1326,510,3,0.0,185,37,29,118,0.49200000000000005
23826,24,1984,DAL,SG,3025,1815,720,1,0.0,288,56,37,169,0.546
23826,25,1985,DAL,SG,2834,1598,619,6,0.0,289,61,16,162,0.508
23826,26,1986,DAL,SG,2787,1762,673,4,0.0,271,79,25,189,0.514
23826,27,1987,DAL,SG,2758,1676,621,5,0.0,266,64,21,174,0.495
23826,28,1988,DAL,SG,2580,1325,497,0,0.0,262,64,18,144,0.473
23826,29,1989,DAL,SG,2946,1534,564,30,0.0,288,65,20,165,0.47600000000000003
23826,30,1990,DAL,SG,2934,1552,613,13,0.0,289,77,21,174,0.498
23826,31,1991,DAL,SG,2965,1590,594,40,0.0,301,69,19,159,0.48200000000000004
23826,32,1992,DAL,SG,2527,1374,470,65,0.0,204,50,22,153,0.461
23826,33,1993,NYK,SG,1434,580,208,31,0.0,157,22,10,65,0.44299999999999995
23826,34,1994,NYK,SG,969,400,131,30,0.0,76,25,6,44,0.436
23843,23,1982,CHI,SG,546,226,98,4,0.0,68,23,2,54,0.45899999999999996
23879,22,1982,NYK,SF,331,137,54,0,0.0,11,12,5,28,0.524
23881,22,1982,BOS,SG,339,152,55,0,1.0,22,14,6,37,0.451
23881,23,1983,BOS,SG,532,184,69,0,1.0,28,32,27,42,0.392
23881,24,1984,SEA,SG,39,11,3,0,1.0,5,0,1,8,0.429
23893,23,1982,CLE,PF,176,53,21,0,0.0,6,5,4,13,0.40399999999999997
23893,24,1983,IND,PF,680,338,131,0,0.0,46,27,26,45,0.425
23905,23,1982,SDC,SG,1027,400,156,9,0.0,156,49,13,83,0.45299999999999996
23905,24,1983,SDC,SG,466,219,88,3,0.0,66,26,9,43,0.42700000000000005
23959,23,1982,CHI,SG,30,5,0,0,2.0,5,6,2,3,0.0
23963,23,1982,TOT,PG,87,23,7,0,1.0,15,3,0,13,0.43799999999999994
23963,23,1982,NJN,PG,34,7,2,0,1.0,4,1,0,5,0.4
23963,23,1982,DEN,PG,53,16,5,0,1.0,11,2,0,8,0.455
24020,23,1982,UTA,PF,337,150,60,0,0.0,7,7,0,18,0.444
24020,27,1986,NJN,PF,185,92,27,1,1.0,4,6,0,13,0.337
24029,22,1982,SDC,PF,2682,1392,554,0,0.0,146,58,46,220,0.525
24029,23,1983,SDC,PF,2665,1391,519,0,0.0,192,79,57,234,0.47200000000000003
24029,24,1984,SEA,PF,2570,1483,554,0,0.0,133,47,51,192,0.499
24029,25,1985,SEA,PF,2923,1739,623,6,0.0,209,70,57,260,0.483
24029,26,1986,SEA,PF,2019,1223,419,13,0.0,132,55,37,194,0.466
24029,27,1987,SEA,PF,3018,1909,606,54,0.0,245,81,50,268,0.456
24029,28,1988,SEA,PF,2680,1674,578,33,0.0,212,87,53,209,0.44799999999999995
24029,29,1989,PHO,PF,3002,2085,746,28,0.0,231,87,55,231,0.47100000000000003
24029,30,1990,PHO,PF,3046,2201,786,24,0.0,190,88,47,218,0.501
24029,31,1991,PHO,PF,2475,1511,536,20,0.0,194,65,52,177,0.43700000000000006
24029,32,1992,PHO,PF,1948,1128,408,18,0.0,142,57,37,103,0.431
24029,33,1993,PHO,PF,1723,892,309,11,0.0,101,43,23,92,0.447
24029,34,1994,UTA,PF,1838,893,315,14,0.0,79,40,32,89,0.44
24029,35,1995,UTA,PF,1240,503,191,4,0.0,73,25,30,52,0.457
24029,37,1997,CHH,PF,83,19,5,2,0.0,4,1,0,9,0.226
24029,38,1998,PHI,PF,10,6,2,0,1.0,0,2,0,1,1.0
24103,24,1982,NJN,C,11,2,1,0,0.0,0,0,0,1,0.5
24103,25,1983,TOT,C,333,90,37,0,0.0,17,9,20,32,0.514
24103,25,1983,LAL,C,11,2,1,0,0.0,0,1,1,3,0.25
24103,25,1983,WSB,C,47,15,5,0,1.0,2,0,0,6,0.556
24103,25,1983,SDC,C,275,73,31,0,0.0,15,8,19,23,0.525
24103,27,1985,SEA,C,45,17,7,0,0.0,2,2,1,0,0.467
24172,23,1982,WSB,SF,575,206,88,0,0.0,31,10,13,43,0.478
24172,24,1983,WSB,SF,1161,560,249,2,0.0,73,32,22,91,0.47
24172,25,1984,WSB,SF,467,231,102,1,0.0,30,14,10,36,0.47200000000000003
24172,26,1985,TOT,SF,774,358,152,1,0.0,51,22,5,54,0.43
24172,26,1985,WSB,SF,28,7,2,0,0.0,1,1,0,2,0.2
24172,26,1985,MIL,SF,746,351,150,1,0.0,50,21,5,52,0.436
24172,27,1986,MIL,SF,873,440,185,3,0.0,55,26,7,50,0.474
24172,29,1988,TOT,SF,226,104,47,1,0.0,20,2,4,18,0.41700000000000004
24172,29,1988,MIL,SF,39,12,6,0,0.0,3,2,1,5,0.33299999999999996
24172,29,1988,SAS,SF,187,92,41,1,0.0,17,0,3,13,0.433
