year,round,pick,player,position,school,last name,first name
1983,2,25,Sidney Lowe,PG,NC State,Lowe,Sidney
1983,2,26,Leroy Combs,SF,Oklahoma State,Combs,Leroy
1983,2,27,John Garris,PF,Boston College,Garris,John
1983,2,28,Rod Foster,PG,UCLA,Foster,Rod
1983,2,29,Larry Micheaux,PF,Houston,Micheaux,Larry
1983,2,30,Mark West,C,Old Dominion,West,Mark
1983,2,31,Doc Rivers,PG,Marquette,Rivers,Doc
1983,2,32,Michael Britt,SF,UDC,Britt,Michael
1983,2,33,Dirk Minniefield,PG,Kentucky,Minniefield,Dirk
1983,2,34,Guy Williams,F,Washington State,Williams,Guy
1983,2,35,Darrell Lockhart,C,Auburn,Lockhart,Darrell
1983,2,36,Scooter McCray,PF,Louisville,McCray,Scooter
1983,2,37,David Russell,SF,St. John's,Russell,David
1983,2,38,Chris McNealy,PF,San Jose State,McNealy,Chris
1983,2,39,Granville Waiters,C,Ohio State,Waiters,Granville
1983,2,40,Jim Thomas,SG,Indiana,Thomas,Jim
1983,2,41,Ted Kitchel,SF,Indiana,Kitchel,Ted
1983,2,42,Mike Davis,SG,Alabama,Davis,Mike
1983,2,43,Pace Mannion,SF,Utah,Mannion,Pace
1983,2,44,Horace Owens,SG,Rhode Island,Owens,Horace
1983,2,45,Paul Williams,SF,Arizona State,Williams,Paul
1983,2,46,Kevin Williams,PG,St. John's,Williams,Kevin
1983,2,47,Kenneth Lyons,PF,North Texas State,Lyons,Kenneth
1984,1,1,Akeem Olajuwon,C,Houston,Olajuwon,Akeem
1984,1,2,Sam Bowie,C,Kentucky,Bowie,Sam
1984,1,3,Michael Jordan,G/F,North Carolina,Jordan,Michael
1984,1,4,Sam Perkins,F/C,North Carolina,Perkins,Sam
1984,1,5,Charles Barkley,F,Auburn,Barkley,Charles
1984,1,6,Melvin Turpin,C,Kentucky,Turpin,Melvin
1984,1,7,Alvin Robertson,G,Arkansas,Robertson,Alvin
1984,1,8,Lancaster Gordon,G,Louisville,Gordon,Lancaster
1984,1,9,Otis Thorpe,F/C,Providence,Thorpe,Otis
1984,1,10,Leon Wood,G,Cal State Fullerton,Wood,Leon
1984,1,11,Kevin Willis,F/C,Michigan State,Willis,Kevin
1984,1,12,Tim McCormick,C,Michigan,McCormick,Tim
1984,1,13,Jay Humphries,G,Colorado,Humphries,Jay
1984,1,14,Michael Cage,F/C,San Diego State,Cage,Michael
1984,1,15,Terence Stansbury,G,Temple,Stansbury,Terence
1984,1,16,John Stockton,G,Gonzaga,Stockton,John
1984,1,17,Jeff Turner,F/C,Vanderbilt,Turner,Jeff
1984,1,18,Vern Fleming,G,Georgia,Fleming,Vern
1984,1,19,Bernard Thompson,G/F,Fresno State,Thompson,Bernard
1984,1,20,Tony Campbell,G/F,Ohio State,Campbell,Tony
1984,1,21,Kenny Fields,G/F,UCLA,Fields,Kenny
1984,1,22,Tom Sewell,G,Lamar,Sewell,Tom
1984,1,23,Earl Jones,C,UDC,Jones,Earl
1984,1,24,Michael Young,G/F,Houston,Young,Michael
1984,2,25,Devin Durrant,F,Brigham Young,Durrant,Devin
1984,2,26,Victor Fleming,G,Xavier,Fleming,Victor
1984,2,27,Ron Anderson,G/F,Fresno State,Anderson,Ron
1984,2,28,Cory Blackwell,F,Wisconsin,Blackwell,Cory
1984,2,29,Stuart Gray,F/C,UCLA,Gray,Stuart
1984,2,30,Steve Burtt,G,Iona,Burtt,Steve
1984,2,31,Jay Murphy,F,Boston College,Murphy,Jay
1984,2,32,Eric Turner,G,Michigan,Turner,Eric
1984,2,33,Steve Colter,G,New Mexico State,Colter,Steve
1984,2,34,Tony Costner,C,Saint Joseph's,Costner,Tony
1984,2,35,Othell Wilson,G,Virginia,Wilson,Othell
1984,2,36,Charles Jones,F,Louisville,Jones,Charles
1984,2,37,Ben Coleman,F,Maryland,Coleman,Ben
1984,2,38,Charlie Sitton,F,Oregon State,Sitton,Charlie
1984,2,39,Danny Young,G,Wake Forest,Young,Danny
1984,2,40,Anthony Teachey,F,Wake Forest,Teachey,Anthony
1984,2,41,Tom Sluby,G,Notre Dame,Sluby,Tom
1984,2,42,Willie White,G,Chattanooga,White,Willie
1984,2,43,Greg Wiltjer,C,Victoria (Canada),Wiltjer,Greg
1984,2,44,Fred Reynolds,F,UTEP,Reynolds,Fred
1984,2,45,Gary Plummer,F/C,Boston University,Plummer,Gary
1984,2,46,Jerome Kersey,F,Longwood,Kersey,Jerome
1984,2,47,Ronnie Williams,F,Florida,Williams,Ronnie
1985,1,1,Patrick Ewing,C,Georgetown,Ewing,Patrick
1985,1,2,Wayman Tisdale,PF,Oklahoma,Tisdale,Wayman
1985,1,3,Benoit Benjamin,C,Creighton,Benjamin,Benoit
1985,1,4,Xavier McDaniel,PF,Wichita State,McDaniel,Xavier
1985,1,5,Jon Koncak,C,SMU,Koncak,Jon
1985,1,6,Joe Kleine,C,Arkansas,Kleine,Joe
1985,1,7,Chris Mullin,SF,St. John's,Mullin,Chris
1985,1,8,Detlef Schrempf,SF/PF,Washington,Schrempf,Detlef
1985,1,9,Charles Oakley,PF,Virginia Union,Oakley,Charles
1985,1,10,Ed Pinckney,PF,Villanova,Pinckney,Ed
1985,1,11,Keith Lee,C,Memphis State,Lee,Keith
1985,1,12,Kenny Green,F,Wake Forest,Green,Kenny
1985,1,13,Karl Malone,PF,Louisiana Tech,Malone,Karl
1985,1,14,Alfredrick Hughes,SG,Loyola (IL),Hughes,Alfredrick
1985,1,15,Blair Rasmussen,C,Oregon,Rasmussen,Blair
1985,1,16,Bill Wennington,C,St. John's,Wennington,Bill
1985,1,17,Uwe Blab,C,Indiana,Blab,Uwe
1985,1,18,Joe Dumars,SG,McNeese State,Dumars,Joe
1985,1,19,Steve Harris,SG,Tulsa,Harris,Steve
1985,1,20,Sam Vincent,SG,Michigan State,Vincent,Sam
1985,1,21,Terry Catledge,PF,South Alabama,Catledge,Terry
1985,1,22,Jerry Reynolds,G/F,LSU,Reynolds,Jerry
1985,1,23,A. C. Green,SF/PF,Oregon State,Green,A. C.
1985,1,24,Terry Porter,PG,Wisconsin Stevens Point,Porter,Terry
1985,2,25,Mike Smrek,C,Canisius,Smrek,Mike
1985,2,26,Bill Martin,F,Georgetown,Martin,Bill
1985,2,27,Dwayne McClain,SG,Villanova,McClain,Dwayne
1985,2,28,Ken Johnson,F,Michigan State,Johnson,Ken
1985,2,29,Mike Brittain,C,South Carolina,Brittain,Mike
1985,2,30,Calvin Duncan,G,VCU,Duncan,Calvin
1985,2,31,Manute Bol,C,Bridgeport,Bol,Manute
1985,2,32,Nick Vanos,C,Santa Clara,Vanos,Nick
1985,2,33,Greg Stokes,F/C,Iowa,Stokes,Greg
1985,2,34,Aubrey Sherrod,SG,Wichita State,Sherrod,Aubrey
1985,2,35,Tyrone Corbin,SF/PF,DePaul,Corbin,Tyrone
1985,2,36,Yvon Joseph,C,Georgia Tech,Joseph,Yvon
1985,2,37,Carey Scurry,F,LIU Brooklyn,Scurry,Carey
1985,2,38,Fernando MartÃ­n,PF,Real Madrid,MartÃ­n,Fernando
1985,2,39,George Montgomery,F,Illinois,Montgomery,George
1985,2,40,Mark Acres,F/C,Oral Roberts,Acres,Mark
1985,2,41,Lorenzo Charles,PF,NC State,Charles,Lorenzo
1985,2,42,Bobby Lee Hurt,C/F,Alabama,Hurt,Bobby Lee
1985,2,43,Barry Stevens,G/F,Iowa State,Stevens,Barry
1985,2,44,Voise Winters,SG,Bradley,Winters,Voise
1985,2,45,John Hot Rod Williams,PF,Tulane,Williams,John Hot Rod
1985,2,46,Adrian Branch,SF,Maryland,Branch,Adrian
1985,2,47,Gerald Wilkins,SG,Chattanooga,Wilkins,Gerald
1986,1,1,Brad Daugherty,C,North Carolina,Daugherty,Brad
1986,1,2,Len Bias,SF,Maryland,Bias,Len
1986,1,3,Chris Washburn,C,NC State,Washburn,Chris
1986,1,4,Chuck Person,SF,Auburn,Person,Chuck
1986,1,5,Kenny Walker,SF,Kentucky,Walker,Kenny
1986,1,6,William Bedford,C,Memphis State,Bedford,William
1986,1,7,Roy Tarpley,C,Michigan,Tarpley,Roy
1986,1,8,Ron Harper,SF,Miami (OH),Harper,Ron
1986,1,9,Brad Sellers,C,Ohio State,Sellers,Brad
1986,1,10,Johnny Dawkins,PG,Duke,Dawkins,Johnny
1986,1,11,John Salley,PF,Georgia Tech,Salley,John
1986,1,12,John Williams,PF,LSU,Williams,John
1986,1,13,Dwayne Washington,PG,Syracuse,Washington,Dwayne
1986,1,14,Walter Berry,SF/PF,St. John's,Berry,Walter
1986,1,15,Dell Curry,SG/SF,Virginia Tech,Curry,Dell
1986,1,16,Maurice Martin,SF,Saint Joseph's,Martin,Maurice
1986,1,17,Harold Pressley,SF,Villanova,Pressley,Harold
1986,1,18,Mark Alarie,PF,Duke,Alarie,Mark
1986,1,19,Billy Thompson,SF,Louisville,Thompson,Billy
1986,1,20,Buck Johnson,SF,Alabama,Johnson,Buck
1986,1,21,Anthony Jones,SF,UNLV,Jones,Anthony
1986,1,22,Scott Skiles,PG,Michigan State,Skiles,Scott
1986,1,23,Ken Barlow,PF,Notre Dame,Barlow,Ken
1986,1,24,Arvydas Sabonis,C,Zalgiris,Sabonis,Arvydas
1986,2,25,Mark Price,PG,Georgia Tech,Price,Mark
1986,2,26,Greg Dreiling,C,Kansas,Dreiling,Greg
1986,2,27,Dennis Rodman,PF,Southeastern Oklahoma State,Rodman,Dennis
1986,2,28,Larry Krystkowiak,PF,Montana,Krystkowiak,Larry
1986,2,29,Johnny Newman,SF,Richmond,Newman,Johnny
1986,2,30,Nate McMillan,PG,NC State,McMillan,Nate
1986,2,31,Joe Ward,SF,Georgia,Ward,Joe
1986,2,32,Cedric Henderson,PF,Georgia,Henderson,Cedric
1986,2,33,Kevin Duckworth,C,Eastern Illinois,Duckworth,Kevin
1986,2,34,Johnny Rogers,PF,UC Irvine,Rogers,Johnny
1986,2,35,Milt Wagner,SG,Louisville,Wagner,Milt
1986,2,36,Steve Mitchell,PG,UAB,Mitchell,Steve
1986,2,37,Panagiotis Fasoulas,C,NC State,Fasoulas,Panagiotis
1986,2,38,Lemone Lampley,C,DePaul,Lampley,Lemone
1986,2,39,Rafael Addison,SF,Syracuse,Addison,Rafael
1986,2,40,Augusto Binelli,C,Virtus Bologna,Binelli,Augusto
1986,2,41,Otis Smith,SG,Jacksonville,Smith,Otis
1986,2,42,Ron Kellogg,SF,Kansas,Kellogg,Ron
1986,2,43,Dave Feitl,C,UTEP,Feitl,Dave
1986,2,44,David Wingate,SG,Georgetown,Wingate,David
1986,2,45,Keith Smith,PG,Loyola Marymount,Smith,Keith
1986,2,46,Jeff Hornacek,SG,Iowa State,Hornacek,Jeff
1986,2,47,Michael Jackson,PG,Georgetown,Jackson,Michael
1987,1,1,David Robinson,C,Navy,Robinson,David
1987,1,2,Armen Gilliam,PF,UNLV,Gilliam,Armen
1987,1,3,Dennis Hopson,SF,Ohio State,Hopson,Dennis
1987,1,4,Reggie Williams,SF,Georgetown,Williams,Reggie
1987,1,5,Scottie Pippen,SF,Central Arkansas,Pippen,Scottie
1987,1,6,Kenny Smith,PG,North Carolina,Smith,Kenny
1987,1,7,Kevin Johnson,PG,California,Johnson,Kevin
1987,1,8,Olden Polynice,C,Virginia,Polynice,Olden
