year,round,pick,player,position,school,last name,first name
1999,1,19,Quincy Lewis,SF,Minnesota,Lewis,Quincy
1999,1,20,Dion Glover,SG,Georgia Tech,Glover,Dion
1999,1,21,Jeff Foster,PF,Southwest Texas State,Foster,Jeff
1999,1,22,Kenny Thomas,PF,New Mexico,Thomas,Kenny
1999,1,23,Devean George,SF,Augsburg,George,Devean
1999,1,24,Andrei Kirilenko,SF,CSKA Moscow,Kirilenko,Andrei
1999,1,25,Tim James,SF,Miami,James,Tim
1999,1,26,Vonteego Cummings,PG,Pittsburgh,Cummings,Vonteego
1999,1,27,Jumaine Jones,SF,Georgia,Jones,Jumaine
1999,1,28,Scott Padgett,PF,Kentucky,Padgett,Scott
1999,1,29,Leon Smith,PF,King College Prep HS,Smith,Leon
1999,2,30,John Celestand,PG,Villanova,Celestand,John
1999,2,31,Rico Hill,F,Illinois State,Hill,Rico
1999,2,32,Michael Ruffin,PF,Tulsa,Ruffin,Michael
1999,2,33,Chris Herren,G,Fresno State,Herren,Chris
1999,2,34,Evan Eschmeyer,C,Northwestern,Eschmeyer,Evan
1999,2,35,Calvin Booth,C,Penn State,Booth,Calvin
1999,2,36,Wang Zhizhi,C,Bayi Rockets,Zhizhi,Wang
1999,2,37,Obinna Ekezie,C,Maryland,Ekezie,Obinna
1999,2,38,Laron Profit,SG/SF,Maryland,Profit,Laron
1999,2,39,A. J. Bramlett,C,Arizona,Bramlett,A. J.
1999,2,40,Gordan GiriÄek,G/F,CSKA Moscow,GiriÄek,Gordan
1999,2,41,Francisco Elson,C,California,Elson,Francisco
1999,2,42,Louis Bullock,G,Michigan,Bullock,Louis
1999,2,43,Lee Nailon,SF,TCU,Nailon,Lee
1999,2,44,Tyrone Washington,C,Mississippi State,Washington,Tyrone
1999,2,45,Ryan Robertson,G,Kansas,Robertson,Ryan
1999,2,46,J. R. Koch,F,Iowa,Koch,J. R.
1999,2,47,Macculloch,C,Washington,Macculloch,
1999,2,48,Galen Young,G,Charlotte,Young,Galen
1999,2,49,Lari Ketner,C,UMass,Ketner,Lari
1999,2,50,Venson Hamilton,C,Nebraska,Hamilton,Venson
1999,2,51,Antwain Smith,F,Saint Paul's,Smith,Antwain
1999,2,52,Roberto Bergersen,G,Boise State,Bergersen,Roberto
1999,2,53,Rodney Buford,SG,Creighton,Buford,Rodney
1999,2,54,Melvin Levett,SG,Cincinnati,Levett,Melvin
1999,2,55,Kris Clack,G,Texas,Clack,Kris
1999,2,56,Tim Young,C,Stanford,Young,Tim
1999,2,57,Manu GinÃ³bili,SG,Viola Reggio Calabria,GinÃ³bili,Manu
1999,2,58,Eddie Lucas,G,Virginia Tech,Lucas,Eddie
2000,1,1,Kenyon Martin,PF,Cincinnato (Sr.),Martin,Kenyon
2000,1,2,Stromile Swift,PF/C,LSU,Swift,Stromile
2000,1,3,Darius Miles,SF/PF,East St. Louis HS (Illinois),Miles,Darius
2000,1,4,Marcus Fizer,PF/SF,Iowa State,Fizer,Marcus
2000,1,5,Mike Miller,SF/SG,Florida,Miller,Mike
2000,1,6,DerMarr Johnson,SG/SF,Cincinnati,Johnson,DerMarr
2000,1,7,Chris Mihm,C/PF,Texas,Mihm,Chris
2000,1,8,Jamal Crawford,SG,Michigan,Crawford,Jamal
2000,1,9,Joel Przybilla,C,Minnesota,Przybilla,Joel
2000,1,10,Keyon Dooling,SG,Missouri,Dooling,Keyon
2000,1,11,Moiso,PF,UCLA,Moiso,
2000,1,12,Etan Thomas,PF/C,Syracuse,Thomas,Etan
2000,1,13,Courtney Alexander,SG,Fresno State,Alexander,Courtney
2000,1,14,Mateen Cleaves,PG,Michigan State,Cleaves,Mateen
2000,1,15,Jason Collier,C,Georgia Tech,Collier,Jason
2000,1,16,Turkoglu,SF/PF,Efes Pilsen,Turkoglu,
2000,1,17,Desmond Mason,SF/SG,Oklahoma State,Mason,Desmond
2000,1,18,Quentin Richardson,SF/SG,DePaul,Richardson,Quentin
2000,1,19,Jamaal Magloire,PF/C,Kentucky,Magloire,Jamaal
2000,1,20,Speedy Claxton,PG,Hofstra,Claxton,Speedy
2000,1,21,Morris Peterson,SF/SG,Michigan State,Peterson,Morris
2000,1,22,Donnell Harvey,SF,Florida,Harvey,Donnell
2000,1,23,DeShawn Stevenson,SG,Washington Union HS,Stevenson,DeShawn
2000,1,24,Dalibor BagariÄ‡,C,Benston Zagreb,BagariÄ‡,Dalibor
2000,1,25,Iakovos Jake Tsakalidis,C,AEK,Tsakalidis,Iakovos Jake
2000,1,26,Mamadou N'Diaye,C,Auburn,N'Diaye,Mamadou
2000,1,27,PrimoÅ¾ Brezec,C,Union Olimpija,Brezec,PrimoÅ¾
2000,1,28,Erick Barkley,PG,St. John's,Barkley,Erick
2000,1,29,Mark Madsen,PF,Stanford,Madsen,Mark
2000,2,30,Marko JariÄ‡,G,Paf Bologna,JariÄ‡,Marko
2000,2,31,Dan Langhi,PF,Vanderbilt,Langhi,Dan
2000,2,32,A.J. Guyton,PG,Indiana,Guyton,A.J.
2000,2,33,Jake Voskuhl,C,Connecticut,Voskuhl,Jake
2000,2,34,Khalid El-Amin,PG,Connecticut,El-Amin,Khalid
2000,2,35,Mike Smith,F,Louisiana-Monroe,Smith,Mike
2000,2,36,Soumaila Samake,C,Cincinnati Stuff,Samake,Soumaila
2000,2,37,Eddie House,SG,Arizona State,House,Eddie
2000,2,38,Eduardo NÃ¡jera,PF,Oklahoma,NÃ¡jera,Eduardo
2000,2,39,Lavor Postell,SG,St. John's,Postell,Lavor
2000,2,40,Mottola,SF/PF,Utah,Mottola,
2000,2,41,Chris Carrawell,SG,Duke,Carrawell,Chris
2000,2,42,Olumide Oyedeji,PF,WÃ¼rzburg,Oyedeji,Olumide
2000,2,43,Michael Redd,SG,Ohio State,Redd,Michael
2000,2,44,Brian Cardinal,PF,Purdue,Cardinal,Brian
2000,2,45,Jabari Smith,C,LSU,Smith,Jabari
2000,2,46,DeeAndre Hulett,G,COS,Hulett,DeeAndre
2000,2,47,Josip Sesar,G,Cibona Zagreb,Sesar,Josip
2000,2,48,Mark Karcher,PG,Temple,Karcher,Mark
2000,2,49,Jason Hart,PG,Syracuse,Hart,Jason
2000,2,50,Kaniel Dickens,F,Idaho,Dickens,Kaniel
2000,2,51,Igor RakoÄeviÄ‡,G,Red Star Belgrade,RakoÄeviÄ‡,Igor
2000,2,52,Ernest Brown,C,Indian Hills CC,Brown,Ernest
2000,2,53,Dan McClintock,C,Northern Arizona,McClintock,Dan
2000,2,54,Cory Hightower,G,Indian Hills CC,Hightower,Cory
2000,2,55,Chris Porter,F,Auburn,Porter,Chris
2000,2,56,Jaquay Walls,G,Colorado,Walls,Jaquay
2000,2,57,Scoonie Penn,G,Ohio State,Penn,Scoonie
2000,2,58,Pete Mickeal,F,Cincinnati,Mickeal,Pete
2001,1,1,Kwame Brown,C,Glynn Academy,Brown,Kwame
2001,1,2,Tyson Chandler,C,Dominguez HS,Chandler,Tyson
2001,1,3,Pau Gasol,PF/C,FC Barcelona,Gasol,Pau
2001,1,4,Eddy Curry,C,Thornwood HS,Curry,Eddy
2001,1,5,Jason Richardson,SG,Michigan State,Richardson,Jason
2001,1,6,Shane Battier,SF,Duke,Battier,Shane
2001,1,7,Eddie Griffin,PF,Seton Hall,Griffin,Eddie
2001,1,8,DeSagana Diop,C,Oak Hill Academy,Diop,DeSagana
2001,1,9,Rodney White,SF/PF,Charlotte,White,Rodney
2001,1,10,Joe Johnson,SG,Arkansas,Johnson,Joe
2001,1,11,Kedrick Brown,SF,Okaloosa-Walton CC,Brown,Kedrick
2001,1,12,Vladimir RadmanoviÄ‡,PF,Red Star Belgrade,RadmanoviÄ‡,Vladimir
2001,1,13,Richard Jefferson,SF,Arizona,Jefferson,Richard
2001,1,14,Troy Murphy,PF,Notre Dame,Murphy,Troy
2001,1,15,Steven Hunter,C,DePaul,Hunter,Steven
2001,1,16,Kirk Haston,PF,Indiana,Haston,Kirk
2001,1,17,Michael Bradley,PF,Villanova,Bradley,Michael
2001,1,18,Jason Collins,C,Stanford,Collins,Jason
2001,1,19,Zach Randolph,PF,Michigan State,Randolph,Zach
2001,1,20,Brendan Haywood,C,North Carolina,Haywood,Brendan
2001,1,21,Joseph Forte,SG,North Carolina,Forte,Joseph
2001,1,22,Jeryl Sasser,SG,SMU,Sasser,Jeryl
2001,1,23,Brandon Armstrong,SG,Pepperdine,Armstrong,Brandon
2001,1,24,RaÃºl LÃ³pez,PG,Real Madrid,LÃ³pez,RaÃºl
2001,1,25,Gerald Wallace,SF,Alabama,Wallace,Gerald
2001,1,26,Samuel Dalembert,C,Seton Hall,Dalembert,Samuel
2001,1,27,Jamaal Tinsley,PG,Iowa State,Tinsley,Jamaal
2001,1,28,Tony Parker,PG,Paris Basket Racing,Parker,Tony
2001,2,30,Trenton Hassell,SG,Austin Peay,Hassell,Trenton
2001,2,31,Gilbert Arenas,PG,Arizona,Arenas,Gilbert
2001,2,32,Omar Cook,PG,St. John's,Cook,Omar
2001,2,33,Will Solomon,PG,Clemson,Solomon,Will
2001,2,34,Terence Morris,SF,Maryland,Morris,Terence
2001,2,35,Brian Scalabrine,PF,USC,Scalabrine,Brian
2001,2,36,Jeff Trepagnier,SG,USC,Trepagnier,Jeff
2001,2,37,Damone Brown,SF,Syracuse,Brown,Damone
2001,2,38,Mehmet Okur,C,Efes Pilsen,Okur,Mehmet
2001,2,39,Michael Wright,PF,Arizona,Wright,Michael
2001,2,40,Earl Watson,PG,UCLA,Watson,Earl
2001,2,41,Jamison Brewer,PG,Auburn,Brewer,Jamison
2001,2,42,Bobby Simmons,F/G,DePaul,Simmons,Bobby
2001,2,43,Eric Chenowith,C,Kansas,Chenowith,Eric
2001,2,44,Kyle Hill,PG,Eastern Illinois,Hill,Kyle
2001,2,45,Sean Lampley,SF,California,Lampley,Sean
2001,2,46,Loren Woods,C,Arizona,Woods,Loren
2001,2,47,Ousmane Cisse,PF,St. Jude HS,Cisse,Ousmane
2001,2,48,Antonis Fotsis,SF,Panathinaikos,Fotsis,Antonis
2001,2,49,Ken Johnson,C,Ohio State,Johnson,Ken
2001,2,50,Ruben Boumtje-Boumtje,C,Georgetown,Boumtje-Boumtje,Ruben
2001,2,51,Alton Ford,PF,Houston,Ford,Alton
2001,2,52,Andre Hutson,PF,Michigan State,Hutson,Andre
2001,2,53,Jarron Collins,F/C,Stanford,Collins,Jarron
2001,2,54,Kenny Satterfield,PG,Cincinnati,Satterfield,Kenny
2001,2,55,Maurice Jeffers,SG,Saint Louis,Jeffers,Maurice
2001,2,56,Robertas Javtokas,C,Lietuvos rytas Vilnius,Javtokas,Robertas
2001,2,57,Alvin Jones,C,Georgia Tech,Jones,Alvin
2001,2,58,Bryan Bracey,SF,Oregon,Bracey,Bryan
2002,1,1,Yao Ming,C,Shanghai Sharks,Ming,Yao
2002,1,2,Jay Williams,PG,Duke,Williams,Jay
2002,1,3,Mike Dunleavy Jr.,SF/SG,Duke,Dunleavy Jr.,Mike
2002,1,4,Drew Gooden,PF/C,Kansas,Gooden,Drew
2002,1,5,Nikoloz Tskitishvili,PF/C,Benetton Treviso,Tskitishvili,Nikoloz
2002,1,6,Dajuan Wagner,PG,Memphis,Wagner,Dajuan
2002,1,7,NenÃª ,C/PF,Vasco da Gama,,NenÃª
2002,1,8,Chris Wilcox,PF/C,Maryland,Wilcox,Chris
2002,1,9,Amar'e Stoudemire,PF/C,Cypress Creek HS,Stoudemire,Amar'e
2002,1,10,Caron Butler,SF,Connecticut,Butler,Caron
2002,1,11,Jared Jeffries,PF/C,Indiana,Jeffries,Jared
2002,1,12,Melvin Ely,C/PF,Fresno State,Ely,Melvin
2002,1,13,Marcus Haislip,PF,Tennessee,Haislip,Marcus
2002,1,14,Fred Jones,SG,Oregon,Jones,Fred
2002,1,15,BoÅ¡tjan Nachbar,SF/PF,Benetton Treviso,Nachbar,BoÅ¡tjan
2002,1,16,JiÅ™Ã­ Welsch,SG/SF,Union Olimpija,Welsch,JiÅ™Ã­
2002,1,17,Juan Dixon,PG,Maryland,Dixon,Juan
2002,1,18,Curtis Borchardt,C,Stanford,Borchardt,Curtis
2002,1,19,Ryan Humphrey,PF,Notre Dame,Humphrey,Ryan
2002,1,20,Kareem Rush,SG,Missouri,Rush,Kareem
2002,1,21,Qyntel Woods,SF,Northeast Mississippi CC,Woods,Qyntel
2002,1,22,Casey Jacobsen,SG,Stanford,Jacobsen,Casey
2002,1,23,Tayshaun Prince,SF,Kentucky,Prince,Tayshaun
2002,1,24,Nenad KrstiÄ‡,C/PF,Partizan Belgrade,KrstiÄ‡,Nenad
2002,1,25,Frank Williams,PG,Illinois,Williams,Frank
2002,1,26,John Salmons,SF/SG,Miami,Salmons,John
2002,1,27,Chris Jefferies,SF,Fresno State,Jefferies,Chris
2002,1,28,Dan Dickau,PG,Gonzaga,Dickau,Dan
2002,2,30,Steve Logan,PG,Cincinnati,Logan,Steve
2002,2,31,"Jr., Roger Mason",SG,Virginia,Mason,"Jr., Roger"
2002,2,32,Robert Archibald,PF,Illinois,Archibald,Robert
2002,2,33,Vincent Yarbrough,SF,Tennessee,Yarbrough,Vincent
2002,2,34,Dan Gadzuric,C,UCLA,Gadzuric,Dan
2002,2,35,Carlos Boozer,PF,Duke,Boozer,Carlos
2002,2,36,MiloÅ¡ VujaniÄ‡,PG,Partizan Belgrade,VujaniÄ‡,MiloÅ¡
2002,2,37,David Andersen,C,Virtus Bologna,Andersen,David
2002,2,38,Tito Maddox,PG,Fresno State,Maddox,Tito
2002,2,39,Rod Grizzard,SG,Alabama,Grizzard,Rod
2002,2,40,Juan Carlos Navarro,PG,FC Barcelona,Navarro,Juan Carlos
2002,2,41,Mario Kasun,C,Opel Skyliners,Kasun,Mario
2002,2,42,Ronald Murray,SG,Shaw,Murray,Ronald
2002,2,43,Jason Jennings,C,Arkansas State,Jennings,Jason
2002,2,44,Lonny Baxter,PF,Maryland,Baxter,Lonny
2002,2,45,Sam Clancy,PF,USC,Clancy,Sam
2002,2,46,Matt Barnes,SF,UCLA,Barnes,Matt
2002,2,47,Jamal Sampson,C,California,Sampson,Jamal
2002,2,48,Chris Owens,PF,Texas,Owens,Chris
2002,2,49,Peter Fehse,PF,Halle,Fehse,Peter
2002,2,50,Darius Songaila,PF,Wake Forest,Songaila,Darius
2002,2,51,Federico Kammerichs,SF,Ourense,Kammerichs,Federico
2002,2,52,Marcus Taylor,PG,Michigan State,Taylor,Marcus
2002,2,53,Rasual Butler,SF,La Salle,Butler,Rasual
2002,2,54,Tamar Slay,SG,Marshall,Slay,Tamar
2002,2,55,Mladen Å ekularac,SG,FMP Å½eleznik,Å ekularac,Mladen
2002,2,56,Luis Scola,PF,TAU CerÃ¡mica,Scola,Luis
2002,2,57,Randy Holcomb,PF,San Diego State,Holcomb,Randy
2002,2,58,Corsley Edwards,PF,Central Connecticut,Edwards,Corsley
2003,1,1,LeBron James ,SF,St. Vincent St. Mary HS,LeBron,James
2003,1,2,Darko MiliÄiÄ‡,C,Hemofarm VrÅ¡ac,MiliÄiÄ‡,Darko
2003,1,3,Carmelo Anthony,SF,Syracuse,Anthony,Carmelo
2003,1,4,Chris Bosh,PF/C,Georgia Tech,Bosh,Chris
2003,1,5,Dwyane Wade,SG,Marquette,Wade,Dwyane
2003,1,6,Chris Kaman,C,Central Michigan,Kaman,Chris
2003,1,7,Kirk Hinrich,PG,Kansas,Hinrich,Kirk
2003,1,8,T. J. Ford,PG,Texas,Ford,T. J.
2003,1,9,Michael Sweetney,PF,Georgetown,Sweetney,Michael
2003,1,10,Jarvis Hayes,F/G,Georgia,Hayes,Jarvis
2003,1,11,MickaÃ«l PiÃ©trus,G/F,Pau-Orthez,PiÃ©trus,MickaÃ«l
2003,1,12,Nick Collison,PF,Kansas,Collison,Nick
2003,1,13,Marcus Banks,PG,UNLV,Banks,Marcus
2003,1,14,Luke Ridnour,PG,Oregon,Ridnour,Luke
2003,1,15,Reece Gaines,F/G,Louisville,Gaines,Reece
2003,1,16,Troy Bell,PG,Boston College,Bell,Troy
2003,1,17,Å½arko ÄŒabarkapa,SF,BuduÄ‡nost Podgorica,ÄŒabarkapa,Å½arko
2003,1,18,David West,PF,Xavier,West,David
2003,1,19,Sasha PavloviÄ‡,F/G,BuduÄ‡nost Podgorica,PavloviÄ‡,Sasha
2003,1,20,Dahntay Jones,SG,Duke,Jones,Dahntay
2003,1,21,Boris Diaw,PF,Pau-Orthez,Diaw,Boris
2003,1,22,Zoran PlaniniÄ‡,G/F,Cibona Zagreb,PlaniniÄ‡,Zoran
2003,1,23,Travis Outlaw,SF,Starkville HS,Outlaw,Travis
2003,1,24,Brian Cook,PF,Illinois,Cook,Brian
2003,1,25,Carlos Delfino,SG,Skipper Bologna,Delfino,Carlos
2003,1,26,Ndudi Ebi,SF,Westbury Christian HS,Ebi,Ndudi
2003,1,27,Kendrick Perkins,C,Ozen HS ,Perkins,Kendrick
2003,1,28,Leandro Barbosa,SG,Bauru Tilibra,Barbosa,Leandro
2003,1,29,Josh Howard,F/G,Wake Forest,Howard,Josh
2003,2,30,Maciej Lampe,PF,Complutense University of Madrid,Lampe,Maciej
2003,2,31,Jason Kapono,F/G,UCLA,Kapono,Jason
2003,2,32,Luke Walton,SF,Arizona,Walton,Luke
2003,2,33,Jerome Beasley,PF,North Dakota,Beasley,Jerome
2003,2,34,Sofoklis Schortsanitis,C,Iraklis BC,Schortsanitis,Sofoklis
2003,2,35,Szymon Szewczyk,PF,Braunschweig,Szewczyk,Szymon
2003,2,36,Mario Austin,PF,Mississippi State,Austin,Mario
2003,2,37,Travis Hansen,SG,BYU,Hansen,Travis
2003,2,38,Steve Blake,PG,Maryland,Blake,Steve
2003,2,39,Slavko VraneÅ¡,C,BuduÄ‡nost Podgorica,VraneÅ¡,Slavko
2003,2,40,Derrick Zimmerman,PG,Mississippi State,Zimmerman,Derrick
2003,2,41,Willie Green,SG,Detroit,Green,Willie
2003,2,42,Zaza Pachulia,PF,Ãœlkerspor,Pachulia,Zaza
2003,2,43,Keith Bogans,SG,Kentucky,Bogans,Keith
2003,2,44,Malick Badiane,PF,Langen,Badiane,Malick
2003,2,45,Matt Bonner,F,Florida,Bonner,Matt
2003,2,46,Sani BeÄiroviÄ‡,SG,Virtus Bologna,BeÄiroviÄ‡,Sani
2003,2,47,Mo Williams,PG,Alabama,Williams,Mo
2003,2,48,James Lang,C,Central Park Christian HS ,Lang,James
2003,2,49,James Jones,SF,Miami (Florida),Jones,James
2003,2,50,Paccelis Morlende,PG,Dijon,Morlende,Paccelis
2003,2,51,Kyle Korver,SG,Creighton,Korver,Kyle
2003,2,52,Remon van de Hare,C,FC Barcelona,van de Hare,Remon
2003,2,53,Tommy Smith,PF,Arizona State,Smith,Tommy
2003,2,54,NedÅ¾ad SinanoviÄ‡,C,Brotnjo,SinanoviÄ‡,NedÅ¾ad
2003,2,55,Rick Rickert,PF,Minnesota,Rickert,Rick
2003,2,56,Brandon Hunter,PF,Ohio,Hunter,Brandon
2003,2,57,Xue Yuyang,C,Hong Kong Flying Dragons,Yuyang,Xue
2003,2,58,Andreas Glyniadakis,C,AEK,Glyniadakis,Andreas
2004,1,1,Dwight Howard,C,Southwest Atlanta Christian Academy,Howard,Dwight
2004,1,2,Emeka Okafor,PF/C,Connecticut,Okafor,Emeka
2004,1,3,Ben Gordon,SG,Connecticut,Gordon,Ben
2004,1,4,Shaun Livingston,PG,Peoria HS,Livingston,Shaun
2004,1,5,Devin Harris,PG,Wisconsin,Harris,Devin
2004,1,6,Josh Childress,G/F,Stanford,Childress,Josh
2004,1,7,Luol Deng,SF,Duke,Deng,Luol
2004,1,8,Rafael AraÃºjo,C,BYU,AraÃºjo,Rafael
2004,1,9,Andre Iguodala,SF,Arizona,Iguodala,Andre
2004,1,10,Luke Jackson,SF,Oregon,Jackson,Luke
2004,1,11,Andris BiedriÅ†Å¡,F/C,Skonto,BiedriÅ†Å¡,Andris
2004,1,12,Robert Swift,C,Bakersfield HS,Swift,Robert
2004,1,13,Sebastian Telfair,PG,Lincoln HS,Telfair,Sebastian
2004,1,14,Kris Humphries,PF,Minnesota,Humphries,Kris
2004,1,15,Al Jefferson,PF/C,Prentiss HS ,Jefferson,Al
2004,1,16,Kirk Snyder,SG,Nevada,Snyder,Kirk
2004,1,17,Josh Smith,SF,Oak Hill Academy,Smith,Josh
2004,1,18,J. R. Smith,SG,St. Benedict's Prep,Smith,J. R.
2004,1,19,Dorell Wright,SF,South Kent School,Wright,Dorell
2004,1,20,Jameer Nelson,PG,Saint Joseph's,Nelson,Jameer
2004,1,21,Pavel Podkolzin,C,Metis Varese,Podkolzin,Pavel
2004,1,22,Viktor Khryapa,SF,CSKA Moscow,Khryapa,Viktor
2004,1,23,Sergei Monia,SG,CSKA Moscow,Monia,Sergei
2004,1,24,Delonte West,PG,Saint Joseph's,West,Delonte
2004,1,25,Tony Allen,SG,Oklahoma State,Allen,Tony
2004,1,26,Kevin Martin,SG,Western Carolina,Martin,Kevin
2004,1,27,SaÅ¡a VujaÄiÄ‡,SG,Snaidero Udine,VujaÄiÄ‡,SaÅ¡a
2004,1,28,Beno Udrih,PG,Breil Milano,Udrih,Beno
2004,1,29,David Harrison,C,Colorado,Harrison,David
2004,2,30,Anderson VarejÃ£o,C,FC Barcelona,VarejÃ£o,Anderson
2004,2,31,Jackson Vroman,C,Iowa State,Vroman,Jackson
2004,2,32,Peter John Ramos,C,Caguas,Ramos,Peter John
2004,2,33,Lionel Chalmers,PG,Xavier,Chalmers,Lionel
2004,2,34,Donta Smith,SF,Southeastern Illinois,Smith,Donta
2004,2,35,Andre Emmett,F/G,Texas Tech,Emmett,Andre
2004,2,36,Antonio Burks,PG,Memphis,Burks,Antonio
2004,2,37,Royal Ivey,PG,Texas,Ivey,Royal
2004,2,38,Chris Duhon,PG,Duke,Duhon,Chris
2004,2,39,Albert Miralles,PF,Roseto Basket,Miralles,Albert
2004,2,40,Justin Reed,SF,Mississippi,Reed,Justin
2004,2,41,David Young,G,North Carolina Central,Young,David
2004,2,42,Viktor Sanikidze,SF,Dijon,Sanikidze,Viktor
2004,2,43,Trevor Ariza,SF,UCLA,Ariza,Trevor
2004,2,44,Tim Pickett,SG,Florida State,Pickett,Tim
2004,2,45,Bernard Robinson,SF,Michigan,Robinson,Bernard
2004,2,46,Ha Seung-Jin,C,Yonsei University,Seung-Jin,Ha
2004,2,47,Pape Sow,PF,Cal State Fullerton,Sow,Pape
2004,2,48,Ricky Minard,SG,Morehead State,Minard,Ricky
2004,2,49,Sergei Lishouk,PF,Khimik Yuzhny,Lishouk,Sergei
2004,2,50,Vassilis Spanoulis,PG,Maroussi,Spanoulis,Vassilis
2004,2,51,Christian Drejer,SF,FC Barcelona,Drejer,Christian
2004,2,52,Romain Sato,SG,Xavier,Sato,Romain
2004,2,53,Matt Freije,SF,Vanderbilt,Freije,Matt
2004,2,54,Rickey Paulding,SG,Missouri,Paulding,Rickey
2004,2,55,Luis Flores,PG,Manhattan,Flores,Luis
2004,2,56,Marcus Douthit,PF,Providence,Douthit,Marcus
2004,2,57,Sergei Karaulov,G,Skha Jakutia Yakutsk ,Karaulov,Sergei
2004,2,58,Blake Stepp,PG,Gonzaga,Stepp,Blake
2004,2,59,Rashad Wright,G,Georgia,Wright,Rashad
2005,1,1,Andrew Bogut,C,Utah,Bogut,Andrew
2005,1,2,Marvin Williams,F,North Carolina,Williams,Marvin
2005,1,3,Deron Williams,PG,Illinois,Williams,Deron
2005,1,4,Chris Paul,PG,Wake Forest,Paul,Chris
2005,1,5,Raymond Felton,G,North Carolina,Felton,Raymond
2005,1,6,Martell Webster,G/F,Seattle Prep. School,Webster,Martell
2005,1,7,Charlie Villanueva,F,Connecticut,Villanueva,Charlie
2005,1,8,Channing Frye,C,Arizona,Frye,Channing
2005,1,9,Ike Diogu,F,Arizona State,Diogu,Ike
2005,1,10,Andrew Bynum,C,St. Joseph HS,Bynum,Andrew
2005,1,11,Fran VÃ¡zquez,F/C,Unicaja MÃ¡laga,VÃ¡zquez,Fran
2005,1,12,Yaroslav Korolev,F,CSKA Moscow,Korolev,Yaroslav
2005,1,13,Sean May,F,North Carolina,May,Sean
2005,1,14,Rashad McCants,G,North Carolina,McCants,Rashad
2005,1,15,Antoine Wright,G/F,Texas A&M,Wright,Antoine
2005,1,16,Joey Graham,F,Oklahoma State,Graham,Joey
2005,1,17,Danny Granger,SF,New Mexico,Granger,Danny
2005,1,18,Gerald Green,G/F,Gulf Shores Academy,Green,Gerald
2005,1,19,Hakim Warrick,F,Syracuse,Warrick,Hakim
2005,1,20,Julius Hodge,G,NC State,Hodge,Julius
2005,1,21,Nate Robinson,G,Washington,Robinson,Nate
2005,1,22,Jarrett Jack,G,Georgia Tech,Jack,Jarrett
2005,1,23,Francisco GarcÃ­a,G/F,Louisville,GarcÃ­a,Francisco
2005,1,24,Luther Head,G,Illinois,Head,Luther
2005,1,25,Johan Petro,C,Pau-Orthez,Petro,Johan
2005,1,26,Jason Maxiell,F,Cincinnati,Maxiell,Jason
2005,1,27,Linas Kleiza,F,Missouri,Kleiza,Linas
2005,1,28,Ian Mahinmi,F/C,Le Havre,Mahinmi,Ian
2005,1,29,Wayne Simien,F,Kansas,Simien,Wayne
2005,1,30,David Lee,PF,Florida,Lee,David
2005,2,31,Salim Stoudamire,G,Arizona,Stoudamire,Salim
2005,2,32,Daniel Ewing,G,Duke,Ewing,Daniel
2005,2,33,Brandon Bass,F,LSU,Bass,Brandon
2005,2,34,C. J. Miles,G,Skyline HS,Miles,C. J.
2005,2,35,Ricky SÃ¡nchez,F,IMG Academy,SÃ¡nchez,Ricky
2005,2,36,Ersan Ä°lyasova,F,Ãœlkerspor,Ä°lyasova,Ersan
2005,2,37,Ronny Turiaf,F,Gonzaga,Turiaf,Ronny
2005,2,38,Travis Diener,G,Marquette,Diener,Travis
2005,2,39,Von Wafer,G,Florida State,Wafer,Von
2005,2,40,Monta Ellis,SG,Lanier HS,Ellis,Monta
2005,2,41,Roko UkiÄ‡,G,KK Split,UkiÄ‡,Roko
2005,2,42,Chris Taft,F,Pittsburgh,Taft,Chris
2005,2,43,Mile IliÄ‡,C,KK Reflex,IliÄ‡,Mile
2005,2,44,Martynas AndriuÅ¡keviÄius,C,Å½algiris Kaunas,AndriuÅ¡keviÄius,Martynas
2005,2,45,Louis Williams,SG,South Gwinnett HS,Williams,Louis
2005,2,46,Erazem Lorbek,F,Climamio Bologna,Lorbek,Erazem
2005,2,47,Bracey Wright,G,Indiana,Wright,Bracey
2005,2,48,MickaÃ«l Gelabale,F,Real Madrid,Gelabale,MickaÃ«l
2005,2,49,Andray Blatche,F,South Kent School,Blatche,Andray
2005,2,50,Ryan Gomes,F,Providence,Gomes,Ryan
2005,2,51,Robert Whaley,C,Walsh,Whaley,Robert
2005,2,52,Axel Hervelle,F,Real Madrid,Hervelle,Axel
2005,2,53,Orien Greene,G,Louisiana-Lafayette,Greene,Orien
2005,2,54,Dijon Thompson,G/F,UCLA,Thompson,Dijon
2005,2,55,Lawrence Roberts,F,Mississippi State,Roberts,Lawrence
2005,2,56,Amir Johnson,F,Westchester HS,Johnson,Amir
2005,2,57,Marcin Gortat,F/C,RheinEnergie KÃ¶ln,Gortat,Marcin
2005,2,58,UroÅ¡ Slokar,F,Snaidero Udine,Slokar,UroÅ¡
2005,2,59,Cenk Akyol,G,Efes Pilsen,Akyol,Cenk
2005,2,60,Alex Acker,G,Pepperdine,Acker,Alex
2006,1,1,Andrea Bargnani,PF,Benetton Treviso,Bargnani,Andrea
2006,1,2,LaMarcus Aldridge,PF,Texas,Aldridge,LaMarcus
2006,1,3,Adam Morrison,SF,Gonzaga,Morrison,Adam
2006,1,4,Tyrus Thomas,PF,LSU,Thomas,Tyrus
